original_filename,page,file_url,platform_link,Total,InvoiceNumber,SupplierName,InvoiceDate,Project_Name,Item,Unit_Price,Amount,Qty,Description,col1,col2,col3
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,1,$ 35.15,"$ 11,775.25",335.0,"8 "" PVC SDR 26 ( 0-6 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,2,$ 45.00,"$ 20,385.00",453.0,"8 "" PVC SDR 26 ( 6 ' - 8 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,الينا 3,$ 45.80,"$ 7,099.00",155.0,"8 "" PVC SDR 26 ( 8 ' - 10 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,4,$ 52.25,"$ 7,315.00",140.0,"8 "" PVC SDR 26 ( 10 ' - 12 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,5,57.05 $,"$ 25,558.40",448.0,"8 "" PVC SDR 26 ( 12 ' - 14 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,6,83.80 $,$ 335.20,4.0,"8 "" PVC SDR 26 ( 14-16 ' Cut )",,LF,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,7,"$ 16,770.00","$ 33,540.00",2.0,Manhole ( 0-6 ' Cut ) ( Polymer ),,EA,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,8,"$ 21,690.00","$ 65,070.00",3.0,Manhole ( 6 ' - 8 ' Cut ) ( Polymer ),,EA,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,9,"$ 22,445.00","$ 67,335.00",3.0,"Manhole ( 12 ' - 14 "" Cut ) ( Polymer )",,EA,
DemeConstruction2-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/eab416e4-03d5-45ed-873d-7e3aae315613-1.jpeg?expires=1699884932&or=0&s=7ab4b9e98834b6c57d32cc1ec7813e9c,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb0f783-7ce9-11ee-8da9-0a5d580da23f,"708,378.85",22004-13,"DEME CONSTRUCTION , LLC",06/23/23,Manatee County Logistics,10,"$ 28,415.00","$ 28,415.00",1.0,"Manhole ( Drop ) ( Lined ) ( 12 ' - 14 ' 
Cut ) ( Polymer )",,EA,
